scenario,image,dataset,tp,fp,fn,confidence,best_iou,latency_ms,outcome
Frontal,EPT-1426.png,dataset_alpr,1,0,0,0.7201278209686279,0.9126145813673756,1774.376600049436,TP
Frontal,PVR-1760.png,dataset_alpr,1,0,0,0.653250515460968,0.9240300800765278,16.390300006605685,TP
Frontal,captura00121.png,dataset_publico_placas,1,0,0,0.05129436403512955,0.7519397589378773,38.42880006413907,TP
Frontal,OZL-2562.png,dataset_alpr,1,0,0,0.44090521335601807,0.94041237356889,15.2515999507159,TP
Frontal,NQN-2892.png,dataset_alpr,1,0,0,0.7667992115020752,0.902526246289547,15.010999981313944,TP
Frontal,LEY-9979.png,dataset_alpr,1,0,0,0.7250494956970215,0.9110000929904427,14.760199934244156,TP
Frontal,PMP-0917.png,dataset_alpr,1,0,0,0.6833330392837524,0.9145202087980374,13.99690005928278,TP
Frontal,PCB-7996.png,dataset_alpr,1,0,0,0.6188750267028809,0.9085937631704822,14.16689995676279,TP
Frontal,PDC-7889.png,dataset_alpr,1,0,0,0.616111159324646,0.9155910634561111,14.30319994688034,TP
Frontal,CZD-1166.png,dataset_alpr,1,0,0,0.7239912748336792,0.8945911915127513,13.943800004199147,TP
Frontal,NIT-8755.png,dataset_alpr,1,0,0,0.6498744487762451,0.9205901344616724,14.923200011253357,TP
Frontal,OQD-0725.png,dataset_alpr,1,0,0,0.7158759832382202,0.9120914069797483,18.240800010971725,TP
Frontal,YZY-4673.png,dataset_alpr,1,0,0,0.6752489805221558,0.8950297125955804,13.17879999987781,TP
Frontal,BJJ 1217.png,dataset_alpr,1,0,0,0.7425975799560547,0.912872873619008,13.956099981442094,TP
Frontal,MUE-3274.png,dataset_alpr,1,0,0,0.6277608871459961,0.9223554457258895,14.472100068815053,TP
Frontal,GIA-6142.png,dataset_alpr,1,0,0,0.7036361694335938,0.9061287505234714,17.416599905118346,TP
Frontal,GPV-1178.png,dataset_alpr,1,0,0,0.6380913257598877,0.9133368304592754,15.39690000936389,TP
Frontal,OHE-2264.png,dataset_alpr,1,0,0,0.6500446796417236,0.9242600054982152,14.96880000922829,TP
Frontal,HHG-5742.png,dataset_alpr,1,0,0,0.6156482100486755,0.9118634209593939,14.181499951519072,TP
Frontal,BEE-1388.png,dataset_alpr,1,0,0,0.6664869785308838,0.921429367037193,14.540800009854138,TP
Frontal,CCZ-3305.png,dataset_publico_placas,1,0,0,0.5904453992843628,0.964275518421324,14.548099949024618,TP
Frontal,PCJ-2308.png,dataset_alpr,1,0,0,0.7293266654014587,0.9193054980169605,18.691199948079884,TP
Frontal,UKX-8684.png,dataset_alpr,1,0,0,0.767503559589386,0.8821808872173755,13.056499999947846,TP
Frontal,NLL-8646.png,dataset_alpr,1,0,0,0.6080120205879211,0.9181515008648065,18.714700010605156,TP
Frontal,YNI-9235.png,dataset_alpr,1,0,0,0.7301117777824402,0.9188239124242705,13.325900072231889,TP
Frontal,UZI-7832.png,dataset_publico_placas,1,0,0,0.688872218132019,0.9645957251737785,14.136799960397184,TP
Frontal,YYK-4731.png,dataset_alpr,1,0,0,0.6897780299186707,0.8967998777135511,15.205899951979518,TP
Frontal,PDG-8550.png,dataset_alpr,1,0,0,0.7341036200523376,0.8996305160309325,19.593800068832934,TP
Frontal,LWJ-6047.png,dataset_alpr,1,0,0,0.7370204925537109,0.8931660465184614,28.75800000037998,TP
Frontal,ZCP-6919.png,dataset_alpr,1,0,0,0.6829472780227661,0.9153889675488809,65.2976999990642,TP
Frontal,ZZS-4922.png,dataset_alpr,1,0,0,0.7155977487564087,0.9031887252072505,40.400999947451055,TP
Frontal,ZCC-5388.png,dataset_alpr,1,0,0,0.6678467988967896,0.9145906045854448,20.60920000076294,TP
Frontal,PKA-4549.png,dataset_alpr,1,0,0,0.6240566372871399,0.9131810649787988,20.05179994739592,TP
Frontal,GPS-2036.png,dataset_alpr,1,0,0,0.6497035026550293,0.9263079752203335,20.257199998013675,TP
Frontal,IZO-0092.png,dataset_alpr,1,0,0,0.7116227149963379,0.9291675042905899,18.683500005863607,TP
Frontal,YHE-6862.png,dataset_alpr,1,0,0,0.6645538806915283,0.912254445528682,18.282499979250133,TP
Frontal,MGY-0281.png,dataset_alpr,1,0,0,0.7566365003585815,0.9244398965508007,17.89469993673265,TP
Frontal,BDG-8223.png,dataset_alpr,1,0,0,0.6572825908660889,0.9098036933898291,19.881000043824315,TP
Frontal,SQV-5284.png,dataset_alpr,1,0,0,0.7698060274124146,0.9104751221249768,18.69779999833554,TP
Frontal,SNM-9117.png,dataset_alpr,1,0,0,0.7127411961555481,0.9155504291941816,18.262599944137037,TP
Frontal,ZWM-7949.png,dataset_alpr,1,0,0,0.7122293710708618,0.9038697474772098,46.23169999103993,TP
Frontal,ISD-9746.png,dataset_alpr,1,0,0,0.7212942242622375,0.8990963918761594,73.88110004831105,TP
Frontal,GRE 6052.png,dataset_alpr,1,0,0,0.6500521302223206,0.9135358674038353,14.769300003536046,TP
Frontal,VNG-3446.png,dataset_alpr,1,0,0,0.5422124862670898,0.8992733929063919,15.862800064496696,TP
Frontal,MHQ-7110.png,dataset_alpr,1,0,0,0.7293170690536499,0.9182255861704611,14.642199967056513,TP
Frontal,SRR-2718.png,dataset_alpr,1,0,0,0.6121479868888855,0.9254626069443874,14.728099922649562,TP
Frontal,SWC-9403.png,dataset_alpr,1,0,0,0.7401836514472961,0.9090918209228855,13.859299942851067,TP
Frontal,PLV-3150.png,dataset_alpr,1,0,0,0.6984934210777283,0.9067639792257173,14.101300039328635,TP
Frontal,PTX-8975.png,dataset_alpr,1,0,0,0.7213975787162781,0.9042637052975541,13.750600046478212,TP
Frontal,QRG-2288.png,dataset_alpr,1,0,0,0.6974735260009766,0.9192158570558286,15.41170000564307,TP
Frontal,PGB-0788.png,dataset_alpr,1,0,0,0.7079519629478455,0.9203388790974341,13.716500019654632,TP
Frontal,KCB-3325.png,dataset_alpr,1,0,0,0.7099461555480957,0.903046725441645,23.75000005122274,TP
Frontal,YZX-2141.png,dataset_alpr,1,0,0,0.679917573928833,0.9259790615221338,38.03160006646067,TP
Frontal,TKQ-2319.png,dataset_alpr,1,0,0,0.7199838757514954,0.9211562975170688,62.448799959383905,TP
Frontal,ZSV-6305.png,dataset_alpr,1,0,0,0.7611287236213684,0.9076641443737096,42.025099974125624,TP
Frontal,BEV-7157.png,dataset_publico_placas_smallfar,1,0,0,0.6411689519882202,0.9731442855191819,19.259999971836805,TP
Frontal,GTQ-4546.png,dataset_publico_placas,1,0,0,0.6652296185493469,0.9832158795930023,18.379000015556812,TP
Frontal,OMX-3673.png,dataset_alpr,1,0,0,0.6197861433029175,0.9222742927395727,17.833400052040815,TP
Frontal,QAH-5098.png,dataset_alpr,1,0,0,0.7319505214691162,0.9005017336084689,24.562599952332675,TP
Frontal,LRT-3257.png,dataset_alpr,1,0,0,0.6778252720832825,0.9027584595251941,22.151099983602762,TP
Frontal,HZP-2763.png,dataset_alpr,1,0,0,0.5658731460571289,0.9300833442793116,41.860700002871454,TP
Frontal,OVZ-2321.png,dataset_alpr,1,0,0,0.5544982552528381,0.930936301950606,22.18400000128895,TP
Frontal,Snapshot_1.PNG,dataset_publico_placas,1,0,0,0.20596660673618317,0.7569763087859184,65.10920007713139,TP
Frontal,TYN-8586.png,dataset_alpr,1,0,0,0.7604519724845886,0.9086994114006767,22.802600055001676,TP
Frontal,CZF-6256.png,dataset_alpr,1,0,0,0.6843289136886597,0.9044147746976201,28.775000013411045,TP
Frontal,LBD-6166.png,dataset_alpr,1,0,0,0.7534633874893188,0.9136412693074613,23.668300011195242,TP
Frontal,PUU-4047.png,dataset_alpr,1,0,0,0.6612222194671631,0.923490303896255,52.70929995458573,TP
Frontal,OXP-2297.png,dataset_alpr,1,0,0,0.7141222953796387,0.9273020692005858,27.69900008570403,TP
Frontal,WDJ-8147.png,dataset_alpr,1,0,0,0.7467707395553589,0.9167878000864594,20.415500039234757,TP
Frontal,IBG-1256.png,dataset_alpr,1,0,0,0.7250151634216309,0.9117734765222119,19.76469997316599,TP
Frontal,NOL-9678.png,dataset_alpr,1,0,0,0.589110791683197,0.9226165174451015,25.563900009728968,TP
Frontal,QPA-0235.png,dataset_alpr,1,0,0,0.6379228234291077,0.9146827889592419,25.551000027917325,TP
Frontal,PKA-4523.png,dataset_alpr,1,0,0,0.6209285259246826,0.9122090340687384,17.329700058326125,TP
Frontal,SOB-6256.png,dataset_alpr,1,0,0,0.7481735348701477,0.8843028230398267,26.35950001422316,TP
Frontal,RZG-4711.png,dataset_alpr,1,0,0,0.6554576754570007,0.9105459973021031,20.58110001962632,TP
Frontal,IIB-1854.png,dataset_alpr,1,0,0,0.6989263296127319,0.8933618478114393,23.641399922780693,TP
Frontal,PUS-0410.png,dataset_alpr,1,0,0,0.7023115754127502,0.9250470653047655,27.999900048598647,TP
Frontal,SCA-2664.png,dataset_alpr,1,0,0,0.7734273672103882,0.911132632876199,17.85459998063743,TP
Frontal,RPS 7510.png,dataset_alpr,1,0,0,0.6692349910736084,0.9038231114769432,17.80729996971786,TP
Frontal,PKA-4534.png,dataset_alpr,1,0,0,0.6740646958351135,0.9119214720746872,17.823999980464578,TP
Frontal,QQG-5721.png,dataset_alpr,1,0,0,0.6933661103248596,0.9194945187169729,19.32469999883324,TP
Frontal,MMD-7543.png,dataset_alpr,1,0,0,0.7051658630371094,0.9205956604154393,20.626600016839802,TP
Frontal,TWW-6645.png,dataset_alpr,1,0,0,0.7512328028678894,0.8883866413537712,17.577300081029534,TP
Frontal,TAB-2347.png,dataset_alpr,1,0,0,0.6588395833969116,0.915016511663649,22.388699930161238,TP
Frontal,EIV-5330.png,dataset_alpr,1,0,0,0.6976884007453918,0.91355377799002,16.75710000563413,TP
