escenario,roi_ocr,lectura_completa_correcta,pct_lectura_completa,pct_char_accuracy,lecturas_invalidas,reintentos,confianza_promedio,ocr_latency_ms_mean
Frontal,295,215,0.7288135593220338,0.9520581113801453,1,2,0.0,934.3139810128516
Distancia corta,262,192,0.732824427480916,0.9585605234460196,0,0,0.000916030534351145,924.3599916048497
Distancia media,258,189,0.7325581395348837,0.9479512735326688,3,6,0.00027131782945736437,916.0774992269016
Distancia larga,120,96,0.8,0.969047619047619,1,2,0.0019166666666666668,926.1049791627253
